日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",累計死者数,PCR検査数,入院中・療養中等の数,累計重症者数,累計退院・療養解除の数
2020/01/16,1,1,0,,,,
2020/01/17,1,0,0,,,,
2020/01/18,1,0,0,,,,
2020/01/19,1,0,0,,,,
2020/01/20,1,0,0,,,,
2020/01/21,1,0,0,,,,
2020/01/22,1,0,0,,,,
2020/01/23,1,0,0,,,,
2020/01/24,2,1,0,,,,
2020/01/25,3,1,0,,,,
2020/01/26,4,1,0,,,,
2020/01/27,4,0,0,,,,
2020/01/28,7,3,0,,,,
2020/01/29,8,1,0,,,,
2020/01/30,14,6,0,,,,
2020/01/31,17,3,0,,,,
2020/02/01,20,3,0,,,,
2020/02/02,20,0,0,,,,
2020/02/03,20,0,0,,,,
2020/02/04,23,3,0,,,,
2020/02/05,25,2,0,,,,
2020/02/06,25,0,0,,,,
2020/02/07,25,0,0,,,,
2020/02/08,26,1,0,,,,
2020/02/09,26,0,0,,,,
2020/02/10,26,0,0,,,,
2020/02/11,28,2,0,,,,
2020/02/12,29,1,0,,,,
2020/02/13,33,4,1,,,,
2020/02/14,41,8,1,,,,
2020/02/15,53,12,1,,,,
2020/02/16,59,6,1,,,,
2020/02/17,66,7,1,,,,
2020/02/18,74,8,1,"1,024",,,
2020/02/19,84,10,1,692,,,
2020/02/20,94,10,1,793,,,
2020/02/21,109,15,1,"1,591",,,
2020/02/22,135,26,1,"1,166",,,
2020/02/23,147,12,1,654,,,
2020/02/24,160,13,1,602,,,
2020/02/25,171,11,1,928,,,
2020/02/26,189,18,3,"1,405",,,
2020/02/27,214,25,4,"1,399",,,
2020/02/28,233,19,5,"1,603",,,
2020/02/29,242,9,5,"1,067",,,
2020/03/01,256,14,6,682,,,
2020/03/02,274,18,6,"1,202",,,
2020/03/03,293,19,6,"1,776",,,
2020/03/04,329,36,6,"1,488",,,
2020/03/05,361,32,6,"1,678",,,
2020/03/06,417,56,6,"2,063",,,
2020/03/07,461,44,6,"1,722",,,
2020/03/08,494,33,7,608,,,
2020/03/09,522,28,9,"1,248",,,
2020/03/10,581,59,12,"2,052",,,
2020/03/11,634,53,15,"1,885",,,
2020/03/12,690,56,19,"1,739",,,
2020/03/13,724,34,21,"1,564",,,
2020/03/14,787,63,22,"1,593",,,
2020/03/15,818,31,24,613,,,
2020/03/16,835,17,28,"1,080",,,
2020/03/17,880,45,29,"1,779",,,
2020/03/18,921,41,31,"1,791",,,
2020/03/19,961,40,33,"1,745",,,
2020/03/20,"1,015",54,35,"1,466",,,
2020/03/21,"1,054",39,36,898,,,
2020/03/22,"1,102",48,41,857,,,
2020/03/23,"1,141",39,42,"1,392",,,
2020/03/24,"1,213",72,43,"2,327",,,
2020/03/25,"1,309",96,45,"1,909",,,
2020/03/26,"1,402",93,47,"2,149",,,
2020/03/27,"1,525",123,52,"2,265",,,
2020/03/28,"1,727",202,55,"2,526",,,
2020/03/29,"1,900",173,56,"2,109",,,
2020/03/30,"1,993",93,59,"3,199",,,
2020/03/31,"2,234",241,66,"4,082",,,
2020/04/01,"2,502",268,69,"4,096",,,
2020/04/02,"2,781",279,73,"5,070",,,
2020/04/03,"3,138",357,77,"5,732",,,
2020/04/04,"3,507",369,84,"5,921",,,
2020/04/05,"3,866",359,93,"3,699",,,
2020/04/06,"4,110",244,97,"5,469",,,
2020/04/07,"4,478",368,98,"7,376",,,
2020/04/08,"5,005",527,105,"8,064",,,
2020/04/09,"5,583",578,109,"8,318",,,
2020/04/10,"6,227",644,122,"8,310",,,
2020/04/11,"6,947",720,132,"7,614",,,
2020/04/12,"7,454",507,138,"4,412",,,
2020/04/13,"7,757",303,143,"7,024",,,
2020/04/14,"8,237",480,162,"9,205",,,
2020/04/15,"8,786",549,179,"9,224",,,
2020/04/16,"9,362",576,191,"8,916",,,
2020/04/17,"9,922",560,207,"9,633",,,
2020/04/18,"10,511",589,224,"8,708",,,
2020/04/19,"10,887",376,238,"4,645",,,
2020/04/20,"11,232",345,263,"7,142",,,
2020/04/21,"11,623",391,283,"8,855",,,
2020/04/22,"12,065",442,299,"9,412",,,
2020/04/23,"12,500",435,328,"9,783",,,
2020/04/24,"12,942",442,345,"9,957",,,
2020/04/25,"13,324",382,360,"8,477",,,
2020/04/26,"13,544",220,372,"4,314",,,
2020/04/27,"13,718",174,394,"7,450",,,
2020/04/28,"14,000",282,413,"10,077",,,
2020/04/29,"14,223",223,435,"7,333",,,
2020/04/30,"14,424",201,457,"8,345",,,
2020/05/01,"14,690",266,486,"9,638",,,
2020/05/02,"14,990",300,517,"8,971",,,
2020/05/03,"15,193",203,536,"5,044",,,
2020/05/04,"15,369",176,556,"5,356",,,
2020/05/05,"15,489",120,566,"5,174",,,
2020/05/06,"15,593",104,577,"4,663",,,
2020/05/07,"15,689",96,590,"8,197",,,
2020/05/08,"15,777",88,606,"9,554","6,302",287,"8,110"
2020/05/09,"15,891",114,624,"8,647","6,250",266,"8,276"
2020/05/10,"15,960",69,633,"3,662","6,074",267,"8,514"
2020/05/11,"16,005",45,657,"7,371","5,914",249,"8,903"
2020/05/12,"16,085",80,678,"9,100","5,162",243,"9,851"
2020/05/13,"16,140",55,696,"8,902","4,732",259,"10,321"
2020/05/14,"16,240",100,713,"8,556","4,339",245,"10,792"
2020/05/15,"16,290",50,729,"8,288","4,025",237,"11,136"
2020/05/16,"16,347",57,748,"6,637","3,787",232,"11,398"
2020/05/17,"16,373",26,756,"2,900","3,667",230,"11,547"
2020/05/18,"16,404",31,768,"6,664","3,400",228,"11,867"
2020/05/19,"16,431",27,773,"7,619","3,009",213,"12,269"
2020/05/20,"16,470",39,784,"6,707","2,761",210,"12,655"
2020/05/21,"16,508",38,799,"6,420","2,495",195,"12,988"
2020/05/22,"16,533",25,814,"5,828","2,293",176,"13,227"
2020/05/23,"16,559",26,826,"4,594","2,130",174,"13,396"
2020/05/24,"16,601",42,839,"2,009","2,111",174,"13,446"
2020/05/25,"16,622",21,852,"5,053","1,939",165,"13,643"
2020/05/26,"16,651",29,863,"6,149","1,788",155,"13,806"
2020/05/27,"16,686",35,871,"6,331","1,637",147,"13,979"
2020/05/28,"16,749",63,884,"6,275","1,556",136,"14,085"
2020/05/29,"16,822",73,890,"6,329","1,466",131,"14,237"
2020/05/30,"16,867",45,895,"5,342","1,452",123,"14,290"
2020/05/31,"16,902",35,898,"2,746","1,436",119,"14,333"
2020/06/01,"16,939",37,900,"5,585","1,341",115,"14,481"
2020/06/02,"16,990",51,903,"7,053","1,270",113,"14,602"
2020/06/03,"17,020",30,908,"7,341","1,207",101,"14,690"
2020/06/04,"17,067",47,913,"7,127","1,141",102,"14,795"
2020/06/05,"17,111",44,917,"8,046","1,064",98,"14,901"
2020/06/06,"17,157",46,919,"6,612","1,042",98,"14,961"
2020/06/07,"17,195",38,919,"2,553","1,060",98,"14,970"
2020/06/08,"17,216",21,922,"6,352","1,028",99,"15,035"
2020/06/09,"17,261",45,923,"8,485",965,92,"15,120"
2020/06/10,"17,299",38,925,"7,718",923,91,"15,200"
2020/06/11,"17,341",42,925,"7,312",854,88,"15,308"
2020/06/12,"17,402",61,929,"7,971",810,82,"15,395"
2020/06/13,"17,447",45,931,"6,990",801,76,"15,451"
2020/06/14,"17,522",75,931,"2,518",819,73,"15,493"
2020/06/15,"17,594",72,933,"6,872",871,71,"15,508"
2020/06/16,"17,638",44,938,"7,836",760,80,"15,657"
2020/06/17,"17,684",46,939,"7,661",712,70,"15,737"
2020/06/18,"17,754",70,940,"7,439",707,62,"15,811"
2020/06/19,"17,812",58,959,"7,526",677,62,"15,880"
2020/06/20,"17,876",64,959,"6,275",711,61,"15,911"
2020/06/21,"17,931",55,960,"3,701",732,59,"15,936"
2020/06/22,"17,974",43,961,"8,259",706,59,"16,007"
2020/06/23,"18,031",57,965,"7,315",698,62,"16,058"
2020/06/24,"18,127",96,969,"8,344",713,60,"16,116"
2020/06/25,"18,209",82,971,"7,458",727,58,"16,188"
2020/06/26,"18,314",105,971,"7,816",757,51,"16,248"
2020/06/27,"18,406",92,972,"6,809",790,48,"16,301"
2020/06/28,"18,519",113,972,"3,475",822,45,"16,353"
2020/06/29,"18,629",110,972,"7,234",869,43,"16,424"
2020/06/30,"18,767",138,974,"8,757",897,42,"16,522"
2020/07/01,"18,894",127,976,"9,593","1,006",40,"16,563"
2020/07/02,"19,088",194,977,"9,048","1,105",37,"16,654"
2020/07/03,"19,338",250,977,"10,439","1,224",33,"16,747"
2020/07/04,"19,612",274,977,"10,068","1,386",32,"16,838"
2020/07/05,"19,820",208,977,"4,644","1,550",33,"16,912"
2020/07/06,"19,996",176,978,"11,195","1,671",34,"16,981"
2020/07/07,"20,204",208,980,"13,731","1,721",36,"17,115"
2020/07/08,"20,411",207,982,"12,547","1,776",35,"17,250"
2020/07/09,"20,766",355,982,"11,877","1,929",38,"17,436"
2020/07/10,"21,196",430,982,"13,216","2,139",31,"17,633"
2020/07/11,"21,582",386,983,"12,350","2,339",33,"17,787"
2020/07/12,"21,989",407,983,"5,531","2,587",32,"17,887"
2020/07/13,"22,248",259,984,"13,614","2,754",34,"18,066"
2020/07/14,"22,581",333,984,"15,649","2,789",40,"18,312"
2020/07/15,"23,031",450,985,"16,882","2,885",38,"18,580"
2020/07/16,"23,655",624,985,"16,650","3,191",37,"18,862"
2020/07/17,"24,252",597,985,"18,349","3,560",39,"19,132"
2020/07/18,"24,913",661,986,"15,730","3,865",41,"19,342"
2020/07/19,"25,424",511,986,"6,768","4,113",43,"19,523"
2020/07/20,"25,842",418,988,"16,322","4,345",47,"19,921"
2020/07/21,"26,474",632,989,"19,065","4,421",52,"20,403"
2020/07/22,"27,269",795,990,"22,392","4,751",55,"20,787"
2020/07/23,"28,250",981,992,"14,074","5,369",59,"21,080"
2020/07/24,"29,028",778,995,"9,938","5,949",68,"21,319"
2020/07/25,"29,830",802,998,"15,797","6,315",64,"21,514"
2020/07/26,"30,668",838,998,"9,405","6,573",66,"21,868"
2020/07/27,"31,268",600,999,"19,165","6,828",67,"22,560"
2020/07/28,"32,253",985,"1,002","22,728","7,063",76,"23,256"
2020/07/29,"33,523","1,270","1,006","25,568","7,508",81,"23,928"
2020/07/30,"34,831","1,308","1,007","26,357","8,062",90,"24,678"
2020/07/31,"36,415","1,584","1,013","28,146","8,945",87,"25,253"
2020/08/01,"37,951","1,536","1,013","24,503","9,427",80,"25,653"
2020/08/02,"39,282","1,331","1,013","10,420","10,422",83,"26,234"
2020/08/03,"40,247",965,"1,018","28,394","10,963",87,"26,944"
2020/08/04,"41,493","1,246","1,023","28,391","11,665",88,"27,775"
2020/08/05,"42,848","1,355","1,030","29,256","11,910",104,"28,624"
2020/08/06,"44,334","1,486","1,036","32,459","12,159",115,"29,900"
2020/08/07,"45,939","1,605","1,043","28,385","12,539",131,"31,054"
2020/08/08,"47,510","1,571","1,044","25,514","13,011",140,"32,059"
2020/08/09,"48,951","1,441","1,049","11,489","13,633",156,"32,805"
2020/08/10,"49,789",838,"1,054","12,254","13,724",162,"33,722"
2020/08/11,"50,487",698,"1,061","25,211","13,610",171,"34,635"
2020/08/12,"51,466",979,"1,066","28,036","13,286",177,"35,858"
2020/08/13,"52,640","1,174","1,077","27,251","13,039",203,"37,165"
2020/08/14,"53,996","1,356","1,086","24,622","12,976",211,"38,600"
2020/08/15,"55,227","1,231","1,093","22,322","13,072",229,"39,715"
2020/08/16,"56,245","1,018","1,104","10,089","13,008",232,"40,794"
2020/08/17,"56,892",647,"1,119","25,264","12,767",243,"41,853"
2020/08/18,"57,808",916,"1,135","28,535","12,084",243,"43,379"
2020/08/19,"58,877","1,069","1,149","29,304","11,686",239,"44,771"
2020/08/20,"60,056","1,179","1,160","29,915","11,709",237,"45,938"
2020/08/21,"61,090","1,034","1,175","27,455","11,597",243,"47,045"
2020/08/22,"62,075",985,"1,181","23,611","11,732",243,"47,946"
2020/08/23,"62,819",744,"1,190","9,721","11,718",254,"48,716"
2020/08/24,"63,312",493,"1,203","16,568","11,211",259,"49,794"
2020/08/25,"64,028",716,"1,217","26,409","10,647",252,"51,034"
2020/08/26,"64,931",903,"1,230","28,719","10,306",246,"52,169"
2020/08/27,"65,794",863,"1,241","29,084","10,111",238,"53,318"
2020/08/28,"66,670",876,"1,261","27,715","9,697",227,"54,650"
2020/08/29,"67,514",844,"1,272","23,944","9,696",230,"55,471"
2020/08/30,"68,114",600,"1,286","9,970","9,649",234,"56,109"
2020/08/31,"68,550",436,"1,300","27,724","9,135",236,"57,130"
2020/09/01,"69,183",633,"1,314","26,584","9,108",234,"57,735"
2020/09/02,"69,775",592,"1,327","27,455","8,604",225,"58,827"
2020/09/03,"70,432",657,"1,335","26,588","8,363",218,"59,720"
2020/09/04,"71,019",587,"1,352","26,011","7,957",214,"60,726"
2020/09/05,"71,617",598,"1,361","20,189","7,908",210,"61,357"
2020/09/06,"72,068",451,"1,369","7,645","7,868",211,"61,817"
2020/09/07,"72,359",291,"1,380","18,345","7,439",209,"62,563"
2020/09/08,"72,868",509,"1,398","23,233","7,098",202,"63,381"
2020/09/09,"73,376",508,"1,412","25,100","6,839",202,"64,116"
2020/09/10,"74,088",712,"1,419","24,581","6,761",198,"64,871"
2020/09/11,"74,731",643,"1,428","22,871","6,684",191,"65,561"
2020/09/12,"75,377",646,"1,441","20,310","6,754",190,"66,180"
2020/09/13,"75,816",439,"1,447","9,828","6,841",180,"66,504"
2020/09/14,"76,082",266,"1,454","23,158","6,567",185,"67,073"
2020/09/15,"76,613",531,"1,467","25,121","6,346",174,"67,754"
2020/09/16,"77,164",551,"1,480","25,991","6,174",178,"68,473"
2020/09/17,"77,653",489,"1,489","22,702","6,014",167,"69,117"
2020/09/18,"78,225",572,"1,499","20,407","6,028",170,"69,700"
2020/09/19,"78,821",596,"1,503","18,571","6,026",161,"70,231"
2020/09/20,"79,301",480,"1,507","8,098","6,132",159,"70,597"
2020/09/21,"79,611",310,"1,514","6,919","6,168",163,"70,841"
2020/09/22,"79,942",331,"1,519","8,141","6,125",164,"71,174"
2020/09/23,"80,161",219,"1,525","22,516","5,904",165,"71,699"
2020/09/24,"80,643",482,"1,537","26,677","5,381",166,"72,643"
2020/09/25,"81,216",573,"1,544","24,709","5,260",163,"73,304"
2020/09/26,"81,855",639,"1,547","19,998","5,446",156,"73,739"
2020/09/27,"82,340",485,"1,550","9,165","5,498",160,"74,122"
2020/09/28,"82,642",302,"1,561","24,866","5,373",159,"74,589"
2020/09/29,"83,169",527,"1,568","25,006","5,324",161,"75,151"
2020/09/30,"83,745",576,"1,575","26,537","5,298",151,"75,708"
2020/10/01,"84,378",633,"1,583","25,210","5,320",151,"76,327"
2020/10/02,"84,920",542,"1,593","22,961","5,275",145,"76,913"
2020/10/03,"85,494",574,"1,599","18,556","5,314",137,"77,414"
2020/10/04,"85,894",400,"1,600","9,258","5,401",133,"77,698"
2020/10/05,"86,173",279,"1,604","20,012","5,258",131,"78,148"
2020/10/06,"86,673",500,"1,611","24,632","5,130",140,"78,750"
2020/10/07,"87,179",506,"1,616","26,356","5,056",141,"79,301"
2020/10/08,"87,806",627,"1,619","25,167","5,160",143,"79,807"
2020/10/09,"88,409",603,"1,625","23,518","5,120",141,"80,425"
2020/10/10,"89,087",678,"1,628","19,449","5,292",147,"80,893"
2020/10/11,"89,523",436,"1,630","8,847","5,443",145,"81,182"
2020/10/12,"89,801",278,"1,634","24,053","5,245",146,"81,690"
2020/10/13,"90,299",498,"1,638","25,532","5,162",148,"82,223"
2020/10/14,"90,851",552,"1,647","26,151","5,054",150,"82,899"
2020/10/15,"91,559",708,"1,650","24,825","5,176",146,"83,509"
2020/10/16,"92,198",639,"1,665","24,512","5,205",148,"84,088"
2020/10/17,"92,821",623,"1,671","19,986","5,326",148,"84,535"
2020/10/18,"93,251",430,"1,675","9,244","5,375",145,"84,961"
2020/10/19,"93,567",316,"1,677","22,409","5,174",144,"85,518"
2020/10/20,"94,048",481,"1,680","25,258","5,031",143,"86,100"
2020/10/21,"94,664",616,"1,687","26,625","5,037",150,"86,648"
2020/10/22,"95,280",616,"1,698","26,355","5,067",150,"87,227"
2020/10/23,"96,025",745,"1,710","25,594","5,216",151,"87,765"
2020/10/24,"96,751",726,"1,714","19,771","5,436",155,"88,237"
2020/10/25,"97,244",493,"1,720","9,575","5,503",159,"88,658"
2020/10/26,"97,654",410,"1,728","23,451","5,499",162,"89,092"
2020/10/27,"98,300",646,"1,733","27,342","5,446",165,"89,746"
2020/10/28,"99,031",731,"1,738","27,644","5,642",166,"90,251"
2020/10/29,"99,839",808,"1,748","25,233","5,848",161,"90,811"
2020/10/30,"100,613",774,"1,756","23,264","6,012",156,"91,392"
2020/10/31,"101,489",876,"1,770","20,562","6,246",161,"91,877"
2020/11/01,"102,102",613,"1,776","14,700","6,474",160,"92,300"
2020/11/02,"102,589",487,"1,788","23,598","6,469",163,"92,760"
2020/11/03,"103,454",865,"1,795","17,580","6,634",163,"93,192"
2020/11/04,"104,078",624,"1,799","27,392","6,707",165,"94,003"
2020/11/05,"105,126","1,048","1,808","29,563","7,075",183,"94,637"
2020/11/06,"106,271","1,145","1,812","28,276","7,501",189,"95,330"
2020/11/07,"107,602","1,331","1,817","22,847","7,904",194,"96,057"
2020/11/08,"108,552",950,"1,824","11,037","8,346",196,"96,511"
2020/11/09,"109,333",781,"1,836","25,025","8,702",204,"97,114"
2020/11/10,"110,617","1,284","1,851","27,180","9,048",208,"97,932"
2020/11/11,"112,163","1,546","1,863","27,326","9,676",204,"98,819"
2020/11/12,"113,823","1,660","1,873","25,192","10,243",226,"99,824"
2020/11/13,"115,529","1,706","1,885","10,923",231,"100,789",
2020/11/14,"117,267","1,738","1,888","11,759",234,"101,632",
2020/11/15,"118,708","1,441","1,895",243,,,
